# TN-AP-67-158 Table 2B — S-IB Stage Pitch Attitude Command
# chi_c_deg: TN convention (0 = vertical, negative downrange)
# elev_deg: plant open-loop program = 90 + chi_c_deg (90 = vertical)
# source: TN-AP-67-158 printed p.58; prefer TN over Simulink
t_s,chi_c_deg,elev_deg,source_note
0,0,90.0000,TN-AP-67-158 Table2B p.58
10,0,90.0000,TN-AP-67-158 Table2B p.58
12,-0.2599,89.7401,TN-AP-67-158 Table2B p.58
14,-0.4015,89.5985,TN-AP-67-158 Table2B p.58
16,-0.6125,89.3875,TN-AP-67-158 Table2B p.58
18,-0.8931,89.1069,TN-AP-67-158 Table2B p.58
20,-1.2412,88.7588,TN-AP-67-158 Table2B p.58
22,-1.6565,88.3435,TN-AP-67-158 Table2B p.58
24,-2.1379,87.8621,TN-AP-67-158 Table2B p.58
26,-2.6847,87.3153,TN-AP-67-158 Table2B p.58
28,-3.2959,86.7041,TN-AP-67-158 Table2B p.58
30,-3.9707,86.0293,TN-AP-67-158 Table2B p.58
32,-4.7081,85.2919,TN-AP-67-158 Table2B p.58
34,-5.5073,84.4927,TN-AP-67-158 Table2B p.58
36,-6.3675,83.6325,TN-AP-67-158 Table2B p.58
38,-7.2876,82.7124,TN-AP-67-158 Table2B p.58
40,-8.2669,81.7331,TN-AP-67-158 Table2B p.58
42,-9.3044,80.6956,TN-AP-67-158 Table2B p.58
44,-10.3993,79.6007,TN-AP-67-158 Table2B p.58
46,-11.5507,78.4493,TN-AP-67-158 Table2B p.58
48,-12.7023,77.2977,TN-AP-67-158 Table2B p.58
50,-13.8758,76.1242,TN-AP-67-158 Table2B p.58
52,-15.0728,74.9272,TN-AP-67-158 Table2B p.58
54,-16.2906,73.7094,TN-AP-67-158 Table2B p.58
56,-17.5264,72.4736,TN-AP-67-158 Table2B p.58
58,-18.7774,71.2226,TN-AP-67-158 Table2B p.58
60,-20.0409,69.9591,TN-AP-67-158 Table2B p.58
62,-21.314,68.6860,TN-AP-67-158 Table2B p.58
64,-22.5939,67.4061,TN-AP-67-158 Table2B p.58
66,-23.878,66.1220,TN-AP-67-158 Table2B p.58
68,-25.1633,64.8367,TN-AP-67-158 Table2B p.58
70,-26.4472,63.5528,TN-AP-67-158 Table2B p.58
72,-27.7268,62.2732,TN-AP-67-158 Table2B p.58
74,-28.9994,61.0006,TN-AP-67-158 Table2B p.58
76,-30.2622,59.7378,TN-AP-67-158 Table2B p.58
78,-31.5123,58.4877,TN-AP-67-158 Table2B p.58
80,-32.7471,57.2529,TN-AP-67-158 Table2B p.58
82,-33.9637,56.0363,TN-AP-67-158 Table2B p.58
84,-35.1594,54.8406,TN-AP-67-158 Table2B p.58
86,-36.3314,53.6686,TN-AP-67-158 Table2B p.58
88,-37.4768,52.5232,TN-AP-67-158 Table2B p.58
90,-38.593,51.4070,TN-AP-67-158 Table2B p.58
92,-39.6771,50.3229,TN-AP-67-158 Table2B p.58
94,-40.698,49.3020,TN-AP-67-158 Table2B p.58
96,-41.6961,48.3039,TN-AP-67-158 Table2B p.58
98,-42.6709,47.3291,TN-AP-67-158 Table2B p.58
100,-43.6252,46.3748,TN-AP-67-158 Table2B p.58
102,-44.5618,45.4382,TN-AP-67-158 Table2B p.58
104,-45.4834,44.5166,TN-AP-67-158 Table2B p.58
106,-46.3927,43.6073,TN-AP-67-158 Table2B p.58
108,-47.2925,42.7075,TN-AP-67-158 Table2B p.58
110,-48.1855,41.8145,TN-AP-67-158 Table2B p.58
112,-49.0744,40.9256,TN-AP-67-158 Table2B p.58
114,-49.962,40.0380,TN-AP-67-158 Table2B p.58
116,-50.8511,39.1489,TN-AP-67-158 Table2B p.58
118,-51.7443,38.2557,TN-AP-67-158 Table2B p.58
120,-52.6445,37.3555,TN-AP-67-158 Table2B p.58
122,-53.5543,36.4457,TN-AP-67-158 Table2B p.58
124,-54.4766,35.5234,TN-AP-67-158 Table2B p.58
126,-55.414,34.5860,TN-AP-67-158 Table2B p.58
128,-56.3692,33.6308,TN-AP-67-158 Table2B p.58
130,-57.3451,32.6549,TN-AP-67-158 Table2B p.58
132,-58.3444,31.6556,TN-AP-67-158 Table2B p.58
134,-59.3698,30.6302,TN-AP-67-158 Table2B p.58
136,-60.4241,29.5759,TN-AP-67-158 Table2B p.58
138,-60.8349,29.1651,TN-AP-67-158 Table2B p.58
150,-60.8349,29.1651,TN-AP-67-158 Table2B p.58
180,-60.8349,29.1651,TN-AP-67-158 Table2B p.58
