# AS-205 revised L/V reference trajectory — S-IB stage flight data
# Primary source: Chrysler TN-AP-67-158 (NASA-CR-89333), 4 Jan 1967
# Table 5 "AS-205 Revised L/V Reference Trajectory — S-IB Stage Flight Data"
# Printed pages 17–21 (PDF pages ~24–28 on ibiblio scan)
#
# Units (converted to SI for obliq compare):
#   t_s       — flight time from first motion (s); TN "FLIGHT TIME (SEC)"
#   h_m       — altitude (m) = TN ALTITUDE (KM) * 1000
#   v_mps     — space-fixed velocity (m/s) as printed (includes Earth-rate residual ~409 m/s at t=0)
#   gamma_rad — space-fixed flight path angle (rad) = TN (DEG) * pi/180
#   mass_kg   — vehicle mass (kg) as printed
#   qbar_Pa   — dynamic pressure (Pa) = TN "DYNAMIC PRESSURE (KG/M2)" * 9.80665
#               (TN kg/m² treated as kgf/m²; spot-check: max-q ~3254 → ~31.9 kPa ~666 psf)
#
# Notes for model comparison (tread carefully):
#   - TN v is space-fixed; open-loop 9.x demos use body |v_b| and start near rest → do not
#     expect |v| match at t=0. Prefer altitude and mass for first residual checks.
#   - Simulink saturn-1B stack may deviate from these TN values; prefer TN when debugging.
#   - Digitized by human-assisted vision OCR of scanned pages; spot-checked mass continuity
#     (Δm/Δt ~ 2700–2800 kg/s under boost). Re-verify any outlier against the PDF before
#     treating residuals as model bugs.
#
# Event markers (Table 2 summary): max dyn pressure t≈78 s; tilt arrest t≈137 s;
# IECO t≈142.88 s; OECO t≈145.88 s; S-IB/S-IVB physical sep t≈147.26 s.
#
t_s,h_m,v_mps,gamma_rad,mass_kg,qbar_Pa,source_note
0.00,30,408.97,1.570796,586593,0.0,Table5 p.17 first motion
5.00,60,409.10,1.542801,572964,78.5,TN-AP-67-158 Table5 p.17
10.00,150,409.61,1.510617,559279,353.0,TN-AP-67-158 Table5 p.17
15.00,310,410.83,1.474000,545529,912.0,TN-AP-67-158 Table5 p.17
20.00,550,413.54,1.432828,531691,1824.0,TN-AP-67-158 Table5 p.17
25.00,880,418.26,1.387711,517811,3167.5,TN-AP-67-158 Table5 p.17
30.00,1310,425.87,1.339697,503900,5001.4,TN-AP-67-158 Table5 p.17
35.00,1860,437.12,1.290043,489965,7345.2,TN-AP-67-158 Table5 p.17
40.00,2530,452.75,1.240405,476014,10189.1,TN-AP-67-158 Table5 p.17
45.00,3330,473.45,1.192688,462050,13484.1,TN-AP-67-158 Table5 p.17
50.00,4280,499.83,1.148828,448075,17132.2,TN-AP-67-158 Table5 p.17
55.00,5380,532.01,1.099784,434098,20956.8,TN-AP-67-158 Table5 p.17
60.00,6650,569.80,1.078456,420121,24683.3,TN-AP-67-158 Table5 p.17
65.00,8080,611.85,1.055453,406138,27743.0,TN-AP-67-158 Table5 p.17
70.00,9660,658.82,1.039309,392098,30047.6,TN-AP-67-158 Table5 p.17
75.00,11420,713.01,1.027266,378046,31606.8,TN-AP-67-158 Table5 p.17
78.00,12560,749.10,1.022012,369614,31910.8,Table5 p.17 max-q approx
80.00,13360,774.70,1.019307,363995,31744.1,TN-AP-67-158 Table5 p.17
85.00,15480,844.13,1.015153,349948,29841.6,TN-AP-67-158 Table5 p.17
90.00,17810,921.38,1.014420,335949,25919.0,TN-AP-67-158 Table5 p.17
95.00,20350,1006.48,1.016480,322011,21074.5,TN-AP-67-158 Table5 p.17
100.00,23110,1099.40,1.020791,308082,16749.8,TN-AP-67-158 Table5 p.17
105.00,26100,1200.28,1.026864,294167,12993.8,TN-AP-67-158 Table5 p.17
110.00,29330,1309.35,1.034404,280272,9787.0,TN-AP-67-158 Table5 p.17
115.00,32920,1427.02,1.043236,266399,7060.8,TN-AP-67-158 Table5 p.17 cont
120.00,36920,1553.84,1.053201,252555,5040.6,TN-AP-67-158 Table5 p.17 cont
125.00,41060,1690.42,1.071161,238745,3432.3,TN-AP-67-158 Table5 p.17 cont
130.00,45490,1837.55,1.081703,224983,2383.0,TN-AP-67-158 Table5 p.17 cont
135.00,50220,1996.15,1.090185,211259,1569.1,TN-AP-67-158 Table5 p.17 cont
137.00,51970,2063.02,1.095421,205799,1412.2,Table5 p.17 tilt arrest ~137s
140.90,55820,2197.25,1.104078,197616,1127.8,TN-AP-67-158 Table5 p.17 cont
142.88,58010,2271.73,1.111181,189981,892.4,Table5 p.17 IECO
145.88,60840,2312.13,1.117011,183924,715.9,Table5 p.17 OECO
147.18,61180,2325.16,1.123730,183928,588.4,TN-AP-67-158 Table5 p.17 cont
147.26,61260,2324.84,1.124009,183924,490.3,Table5 p.17 S-IB sep
