# Example multi-logger CSV shape as produced by WasmSimulationEngine.exportAllLoggedDataAsCSV
# (column names = logger block names). Synthetic values for tooling dry-run only —
# NOT flight data and NOT 9.4 output. Replace with a real export from the app.
# Sim time includes ~1 s pre-liftoff hold so residual CLI default --offset 1 applies.
time,log_altitude,log_mass,log_qbar,log_V
0.0,30,590000,0,0
1.0,30,590000,0,0
6.0,80,575000,100,50
11.0,200,560000,400,120
16.0,400,545000,1000,200
21.0,700,530000,2000,300
26.0,1100,515000,3500,400
31.0,1600,500000,5500,520
36.0,2200,485000,8000,650
41.0,3000,470000,11000,800
46.0,4000,455000,14500,980
51.0,5200,440000,18500,1200
56.0,6600,425000,22000,1450
61.0,8200,410000,25500,1750
66.0,10000,395000,28500,2100
71.0,12000,380000,31000,2500
76.0,14000,365000,32000,2900
79.0,15000,355000,32500,3100
81.0,16000,350000,32000,3300
86.0,18500,335000,30000,3800
91.0,21500,320000,26000,4400
96.0,25000,305000,21000,5100
101.0,29000,290000,16500,5900
106.0,33500,275000,12500,6800
111.0,38500,260000,9500,7800
116.0,44000,245000,7000,8900
121.0,50000,230000,5000,10000
126.0,56500,215000,3400,11200
131.0,63500,200000,2300,12500
136.0,71000,185000,1500,14000
141.0,79000,175000,1100,15500
146.0,86000,170000,700,16800
148.0,88000,168000,500,17200
